"id","currency","open_time","open_price","high","low","close","volume"
1,"BTC/USD","2023-08-19 17:00:00","26253.3","26253.31","26072.29","26086.9","1368.5996"
2,"BTC/USD","2023-08-19 18:00:00","26086.9","26138","26026.96","26126.44","972.9137"
3,"BTC/USD","2023-08-19 19:00:00","26126.44","26159.84","26095.36","26125.62","555.8172"
4,"BTC/USD","2023-08-19 20:00:00","26125.61","26156","26033.16","26056.78","1256.0364"
5,"BTC/USD","2023-08-19 21:00:00","26056.78","26096.51","26050.1","26084.96","442.28546"
6,"BTC/USD","2023-08-19 22:00:00","26084.97","26089.34","26049.65","26054","366.63177"
7,"BTC/USD","2023-08-19 23:00:00","26054","26124.99","26053.21","26100.01","408.00137"
8,"BTC/USD","2023-08-20 00:00:00","26100.01","26188.09","26081.32","26181.68","580.3011"
9,"BTC/USD","2023-08-20 01:00:00","26181.67","26207.88","26046.4","26072.45","858.0231"
10,"BTC/USD","2023-08-20 02:00:00","26072.45","26107.81","26048.36","26094","478.87213"
11,"BTC/USD","2023-08-20 03:00:00","26093.99","26143.04","26093.99","26105.24","744.4721"
12,"BTC/USD","2023-08-20 04:00:00","26105.23","26131.21","26101.25","26121.47","850.2789"
13,"BTC/USD","2023-08-20 05:00:00","26121.46","26160.16","26067.7","26092","893.25494"
14,"BTC/USD","2023-08-20 06:00:00","26092.01","26092.01","26047.41","26063.99","682.271"
15,"BTC/USD","2023-08-20 07:00:00","26064","26092","26060.29","26088.44","489.50238"
16,"BTC/USD","2023-08-20 08:00:00","26088.44","26112","26058.98","26112","496.8376"
17,"BTC/USD","2023-08-20 09:00:00","26112","26144.89","26093.23","26144","784.1707"
18,"BTC/USD","2023-08-20 10:00:00","26144","26157.61","26120.16","26148.05","774.76996"
19,"BTC/USD","2023-08-20 11:00:00","26148.05","26198.72","26131.71","26176.7","980.83246"
20,"BTC/USD","2023-08-20 12:00:00","26176.69","26197.62","26135.56","26183.72","596.197"
21,"BTC/USD","2023-08-20 13:00:00","26183.71","26217.52","26128.02","26135.9","884.6392"
22,"BTC/USD","2023-08-20 14:00:00","26135.9","26149.43","26062","26062.87","1091.8506"
23,"BTC/USD","2023-08-20 15:00:00","26062.86","26138.25","25971.05","26106.83","1854.5573"
24,"BTC/USD","2023-08-20 16:00:00","26106.83","26123.99","26002.51","26053.01","734.0204"
25,"BTC/USD","2023-08-20 17:00:00","26053.01","26162.34","26028.19","26124.18","769.7071"
26,"BTC/USD","2023-08-20 18:00:00","26124.18","26150","26105.89","26113.81","602.39514"
27,"BTC/USD","2023-08-20 19:00:00","26113.82","26139.77","26108.97","26137.25","349.88083"
28,"BTC/USD","2023-08-20 20:00:00","26137.25","26299","26137.25","26232.98","1673.7683"
29,"BTC/USD","2023-08-20 21:00:00","26232.99","26243.48","26143.59","26176.86","690.39935"
30,"BTC/USD","2023-08-20 22:00:00","26176.85","26225.19","26176.85","26209.46","444.8984"
31,"BTC/USD","2023-08-20 23:00:00","26209.47","26209.47","26146.95","26189.99","751.01227"
32,"BTC/USD","2023-08-21 00:00:00","26190","26195.12","26120.01","26142","635.7417"
33,"BTC/USD","2023-08-21 01:00:00","26142","26168","26085.01","26146.14","974.27167"
34,"BTC/USD","2023-08-21 02:00:00","26146.14","26161.23","26080.22","26097.38","645.45416"
35,"BTC/USD","2023-08-21 03:00:00","26097.38","26111.76","26070","26090.66","759.5834"
36,"BTC/USD","2023-08-21 04:00:00","26090.66","26090.67","26045","26059.02","676.6603"
37,"BTC/USD","2023-08-21 05:00:00","26059.02","26189.04","26048","26104.54","1321.5006"
38,"BTC/USD","2023-08-21 06:00:00","26104.54","26120","26030.41","26032","818.2443"
39,"BTC/USD","2023-08-21 07:00:00","26032.01","26051.49","26000","26023.34","1274.8408"
40,"BTC/USD","2023-08-21 08:00:00","26023.33","26070","25983.88","26059.99","989.00366"
41,"BTC/USD","2023-08-21 09:00:00","26059.99","26088.32","26002","26028","1067.7322"
42,"BTC/USD","2023-08-21 10:00:00","26028.01","26028.01","25880.2","25944.01","2648.531"
43,"BTC/USD","2023-08-21 11:00:00","25944.01","26044.27","25931.53","26031.6","1098.5581"
44,"BTC/USD","2023-08-21 12:00:00","26031.61","26085.15","25994","26004","1293.9229"
45,"BTC/USD","2023-08-21 13:00:00","26004","26144.09","25982.84","26129.7","1440.5745"
46,"BTC/USD","2023-08-21 14:00:00","26129.69","26198.89","26058","26108.51","1850.2302"
47,"BTC/USD","2023-08-21 15:00:00","26108.52","26134.19","25812","25939.59","4704.06"
48,"BTC/USD","2023-08-21 16:00:00","25939.59","26048.47","25937.6","26015.43","1625.8346"
49,"BTC/USD","2023-08-21 17:00:00","26015.42","26075.85","26002.08","26050.7","1072.0024"
